2020-03-04 00:00:01.926678+00:00,deferred after 1.1.1,10756,"branch: 1.1.1, reviewed:commented",55
2020-03-04 00:00:01.926678+00:00,deferred after 1.1.1,9387,"branch: 1.1.1, ",180
2020-03-04 00:00:01.926678+00:00,deferred after 1.1.1,8900,"branch: 1.1.1, reviewed:commented",300
2020-03-04 00:00:01.926678+00:00,deferred after 1.1.1,8437,"branch: 1.1.1, reviewed:commented",352
2020-03-04 00:00:01.926678+00:00,deferred after 1.1.1,7157,"hold: cla required, milestone:Post 1.1.1, reviewed:approved",525
2020-03-04 00:00:01.926678+00:00,deferred after 1.1.1,6909,"milestone:Post 1.1.1, reviewed:approved",130
2020-03-04 00:00:01.926678+00:00,deferred after 1.1.1,6886,"milestone:Post 1.1.1, reviewed:commented",130
2020-03-04 00:00:01.926678+00:00,deferred after 1.1.1,6811,"milestone:Post 1.1.1, reviewed:commented",349
2020-03-04 00:00:01.926678+00:00,deferred after 1.1.1,6739,"hold: cla required, milestone:Post 1.1.1, ",426
2020-03-04 00:00:01.926678+00:00,deferred after 1.1.1,6697,"hold: cla required, milestone:Post 1.1.1, ",440
2020-03-04 00:00:01.926678+00:00,deferred after 1.1.1,6458,"milestone:Post 1.1.1, reviewed:commented",594
2020-03-04 00:00:01.926678+00:00,deferred after 1.1.1,6425,"milestone:Post 1.1.1, reviewed:commented",130
2020-03-04 00:00:01.926678+00:00,deferred after 1.1.1,6305,"milestone:Post 1.1.1, reviewed:changes_requested",651
2020-03-04 00:00:01.926678+00:00,deferred after 1.1.1,6148,"milestone:Post 1.1.1, reviewed:commented",130
2020-03-04 00:00:01.926678+00:00,deferred after 1.1.1,6017,"milestone:Post 1.1.1, reviewed:commented",130
2020-03-04 00:00:01.926678+00:00,deferred after 1.1.1,5980,"hold: cla required, milestone:Post 1.1.1, reviewed:commented",667
2020-03-04 00:00:01.926678+00:00,deferred after 1.1.1,5932,"milestone:Post 1.1.1, reviewed:commented",130
2020-03-04 00:00:01.926678+00:00,deferred after 1.1.1,5260,"branch: 1.1.0, hold: cla required, unresolved, milestone:Post 1.1.1, ",35
2020-03-04 00:00:01.926678+00:00,deferred after 1.1.1,5259,"milestone:Post 1.1.1, reviewed:changes_requested",130
2020-03-04 00:00:01.926678+00:00,deferred after 1.1.1,5257,"milestone:Post 1.1.1, reviewed:changes_requested",130
2020-03-04 00:00:01.926678+00:00,deferred after 1.1.1,5024,"milestone:Post 1.1.1, ",130
2020-03-04 00:00:01.926678+00:00,deferred after 1.1.1,4965,"milestone:Post 1.1.1, reviewed:changes_requested",130
2020-03-04 00:00:01.926678+00:00,deferred after 1.1.1,4940,"milestone:Post 1.1.1, reviewed:commented",130
2020-03-04 00:00:01.926678+00:00,deferred after 1.1.1,4930,"milestone:Post 1.1.1, reviewed:commented",130
2020-03-04 00:00:01.926678+00:00,deferred after 1.1.1,4530,"milestone:Post 1.1.1, ",130
